id,plate,owner,car_model,insurance_company,insurance_status,start_date,end_date
C074,91라2648,Olivia Foster,Hyundai Sonata,DB Insurance,EXPIRED,12 DEC 2025,12 DEC 2026
C075,48마7193,Noah Bennett,Kia Sportage,NONE,NO INSURANCE,-,-
C076,72바5814,Emma Carter,Genesis GV70,Samsung Fire & Marine,ACTIVE,15 DEC 2026,15 DEC 2027
C077,35사9472,James Morgan,Hyundai Tucson,DB Insurance,EXPIRED,08 JAN 2025,08 JAN 2026
C078,64아3158,Ava Howard,Kia Sorento,NONE,NO INSURANCE,-,-
C079,19자6824,Lucas Parker,Genesis G90,Samsung Fire & Marine,ACTIVE,20 JAN 2026,20 JAN 2027
C080,123가7821,Mia Collins,Hyundai Grandeur,DB Insurance,EXPIRED,14 FEB 2025,14 FEB 2026
C081,247나5936,William Ward,Kia Carnival,NONE,NO INSURANCE,-,-
C082,358다7142,Charlotte Adams,Genesis GV80,Samsung Fire & Marine,ACTIVE,01 FEB 2026,01 FEB 2027
C083,469라8257,Benjamin Kelly,Kia EV6,DB Insurance,EXPIRED,22 MAR 2025,22 MAR 2026
C084,571마9368,Harper Price,Hyundai Ioniq 5,NONE,NO INSURANCE,-,-
C085,682바1479,Daniel Turner,Genesis G70,Samsung Fire & Marine,ACTIVE,05 APR 2026,05 APR 2027
C086,793사2581,Evelyn Mitchell,Kia K8,DB Insurance,EXPIRED,18 APR 2025,18 APR 2026
C087,804아3692,Michael Roberts,Hyundai Palisade,NONE,NO INSURANCE,-,-
C088,915자4713,Abigail Perez,Genesis Electrified G80,Samsung Fire & Marine,ACTIVE,01 MAY 2026,01 MAY 2027
C089,126가5824,Henry Sanchez,Kia Niro,DB Insurance,EXPIRED,09 MAY 2025,09 MAY 2026
C090,237나6935,Scarlett Cooper,Hyundai Kona,NONE,NO INSURANCE,-,-
C091,348다7146,Jack Edwards,Genesis GV60,Samsung Fire & Marine,ACTIVE,12 JUN 2026,12 JUN 2027
C092,459라8258,Grace Phillips,Kia Seltos,DB Insurance,EXPIRED,30 JUN 2025,30 JUN 2026
C093,561마9361,Samuel Stewart,Hyundai Venue,NONE,NO INSURANCE,-,-
C094,672바1472,Chloe Hughes,Genesis G90,Samsung Fire & Marine,ACTIVE,01 JUL 2026,01 JUL 2027
C095,783사2583,David Bell,Kia Mohave,DB Insurance,EXPIRED,15 JUL 2025,15 JUL 2026
C096,894아3694,Ella Murphy,Hyundai Staria,NONE,NO INSURANCE,-,-
C097,105자4715,Joseph Bailey,Genesis GV70,Samsung Fire & Marine,ACTIVE,05 AUG 2026,05 AUG 2027
C098,216가5826,Lily Rivera,Kia Ray,DB Insurance,EXPIRED,20 AUG 2025,20 AUG 2026
C099,327나6937,Matthew Foster,Hyundai Casper,NONE,NO INSURANCE,-,-
C100,438다7148,Zoe Morgan,Genesis G80,Samsung Fire & Marine,ACTIVE,01 SEP 2026,01 SEP 2027
