id,plate,owner,car_model,insurance_company,start_date,end_date
C022,456라7890,Harper Lee,Kia Seltos,Samsung Fire & Marine,14 JAN 2026,14 JAN 2027
C023,567마8901,Sebastian Walker,Hyundai Venue,DB Insurance,22 FEB 2025,22 FEB 2026
C024,678바9012,Evelyn Hall,Genesis G90,NONE,-,-
C025,789사0123,Jack Allen,Kia Mohave,Samsung Fire & Marine,10 MAR 2026,10 MAR 2027
C026,890아1234,Abigail Young,Hyundai Staria,DB Insurance,01 APR 2025,01 APR 2026
C027,901자2345,Owen Hernandez,Genesis GV70,NONE,-,-
C028,112가3456,Ella King,Kia Ray,Samsung Fire & Marine,05 MAY 2026,05 MAY 2027
C029,223나4567,Matthew Wright,Hyundai Casper,DB Insurance,12 MAY 2025,12 MAY 2026
C030,334다5678,Scarlett Lopez,Genesis G80,NONE,-,-
C031,445라6789,Joseph Green,Kia K3,Samsung Fire & Marine,18 JUN 2026,18 JUN 2027
C032,556마7890,Grace Scott,Hyundai Elantra,DB Insurance,09 JUL 2025,09 JUL 2026
C033,667바8901,Samuel Adams,Genesis GV80,NONE,-,-
C034,778사9012,Chloe Baker,Kia EV9,Samsung Fire & Marine,03 AUG 2026,03 AUG 2027
C035,889아0123,David Nelson,Hyundai Ioniq 6,DB Insurance,15 AUG 2025,15 AUG 2026
C036,992자1234,Lily Carter,Genesis G70,NONE,-,-
C037,135가2468,Christopher Mitchell,Kia Sportage,Samsung Fire & Marine,01 SEP 2026,01 SEP 2027
C038,246나3579,Zoe Perez,Hyundai Tucson,DB Insurance,22 SEP 2025,22 SEP 2026
C039,357다4680,Andrew Roberts,Genesis GV60,NONE,-,-
C040,468라5791,Hannah Turner,Kia Sorento,Samsung Fire & Marine,10 OCT 2026,10 OCT 2027
C041,553파4567,Joshua Roberts,Kia Sorento,Samsung Fire & Marine,12 DEC 2026,12 DEC 2027
C042,664하5678,Natalie Turner,Hyundai Santa Fe,DB Insurance,10 DEC 2025,10 DEC 2026
C043,775가6789,Ryan Phillips,Genesis G90,NONE,-,-
C044,886나7890,Victoria Campbell,Kia K5,Samsung Fire & Marine,03 JAN 2026,03 JAN 2027
C045,997다8901,Nathan Parker,Hyundai Sonata,DB Insurance,15 JAN 2025,15 JAN 2026
C046,108라9012,Aria Evans,Genesis GV70,NONE,-,-
C047,219마0123,Isaac Edwards,Kia Carnival,Samsung Fire & Marine,22 FEB 2026,22 FEB 2027
C048,320바1234,Penelope Collins,Hyundai Avante,DB Insurance,28 FEB 2025,28 FEB 2026
C049,431사2345,Aaron Stewart,Genesis G80,NONE,-,-
C050,542아3456,Layla Sanchez,Kia EV6,Samsung Fire & Marine,09 MAR 2026,09 MAR 2027
C051,654사4567,Adam Carter,Hyundai Elantra,Samsung Fire & Marine,02 APR 2026,02 APR 2027
C052,765아5678,Victoria Reed,Kia K8,DB Insurance,18 APR 2025,18 APR 2026
C053,876자6789,Leo Morgan,Genesis GV80,NONE,-,-
C054,987차7890,Emma Foster,Hyundai Tucson,Samsung Fire & Marine,12 MAY 2026,12 MAY 2027
C055,198카8901,Ryan Brooks,Kia Sorento,DB Insurance,03 MAY 2025,03 MAY 2026
C056,209타9012,Grace Howard,Genesis G70,NONE,-,-
C057,310파0123,Nathan Cooper,Hyundai Sonata,Samsung Fire & Marine,20 JUN 2026,20 JUN 2027
C058,421하1234,Lily Murphy,Kia EV6,DB Insurance,15 JUN 2025,15 JUN 2026
C059,532가2345,Jack Bennett,Genesis GV70,NONE,-,-
C060,643나3456,Sophia Price,Hyundai Grandeur,Samsung Fire & Marine,01 JUL 2026,01 JUL 2027
C061,754다4567,Lucas Ward,Kia Carnival,DB Insurance,07 JUL 2025,07 JUL 2026
C062,865라5678,Chloe Adams,Genesis G90,NONE,-,-
C063,976마6789,Henry Kelly,Hyundai Santa Fe,Samsung Fire & Marine,11 AUG 2026,11 AUG 2027
C064,187바7890,Ella Turner,Kia Sportage,DB Insurance,22 AUG 2025,22 AUG 2026
C065,298사8901,Owen Parker,Genesis Electrified G80,NONE,-,-
C066,309아9012,Zoe Collins,Hyundai Kona,Samsung Fire & Marine,05 SEP 2026,05 SEP 2027
C067,410자0123,Mason Edwards,Kia Niro,DB Insurance,01 SEP 2025,01 SEP 2026
C068,521차1234,Aria Mitchell,Genesis GV60,NONE,-,-
C069,632카2345,Ethan Roberts,Hyundai Ioniq 5,Samsung Fire & Marine,14 OCT 2026,14 OCT 2027
C070,743타3456,Mia Phillips,Kia K5,DB Insurance,09 OCT 2025,09 OCT 2026
C071,57가1284,Ethan Cooper,Hyundai Avante,DB Insurance,05 NOV 2025,05 NOV 2026
C072,83나4721,Sophia Reed,Kia K5,NONE,-,-
C073,26다8357,Liam Brooks,Genesis G80,Samsung Fire & Marine,01 NOV 2026,01 NOV 2027
C074,91라2648,Olivia Foster,Hyundai Sonata,DB Insurance,12 DEC 2025,12 DEC 2026
C075,48마7193,Noah Bennett,Kia Sportage,NONE,-,-
C076,72바5814,Emma Carter,Genesis GV70,Samsung Fire & Marine,15 DEC 2026,15 DEC 2027
C077,35사9472,James Morgan,Hyundai Tucson,DB Insurance,08 JAN 2025,08 JAN 2026
C078,64아3158,Ava Howard,Kia Sorento,NONE,-,-
C079,19자6824,Lucas Parker,Genesis G90,Samsung Fire & Marine,2 0 JAN 2026,20 JAN 2027
C080,123가7821,Mia Collins,Hyundai Grandeur,DB Insurance,14 FEB 2025,14 FEB 2026
C081,247나5936,William Ward,Kia Carnival,NONE,-,-
C082,358다7142,Charlotte Adams,Genesis GV80,Samsung Fire & Marine,01 FEB 2026,01 FEB 2027
C083,469라8257,Benjamin Kelly,Kia EV6,DB Insurance,22 MAR 2025,22 MAR 2026
C084,571마9368,Harper Price,Hyundai Ioniq 5,NONE,-,-
C085,682바1479,Daniel Turner,Genesis G70,Samsung Fire & Marine,05 APR 2026,05 APR 2027
C086,793사2581,Evelyn Mitchell,Kia K8,DB Insurance,18 APR 2025,18 APR 2026
C087,804아3692,Michael Roberts,Hyundai Palisade,NONE,-,-
C088,915자4713,Abigail Perez,Genesis Electrified G80,Samsung Fire & Marine,01 MAY 2026,01 MAY 2027
C089,126가5824,Henry Sanchez,Kia Niro,DB Insurance,09 MAY 2025,09 MAY 2026
C090,237나6935,Scarlett Cooper,Hyundai Kona,NONE,-,-
C091,348다7146,Jack Edwards,Genesis GV60,Samsung Fire & Marine,12 JUN 2026,12 JUN 2027
C092,459라8258,Grace Phillips,Kia Seltos,DB Insurance,30 JUN 2025,30 JUN 2026
C093,561마9361,Samuel Stewart,Hyundai Venue,NONE,-,-
C094,672바1472,Chloe Hughes,Genesis G90,Samsung Fire & Marine,01 JUL 2026,01 JUL 2027
C095,783사2583,David Bell,Kia Mohave,DB Insurance,15 JUL 2025,15 JUL 2026
C096,894아3694,Ella Murphy,Hyundai Staria,NONE,-,-
C097,105자4715,Joseph Bailey,Genesis GV70,Samsung Fire & Marine,05 AUG 2026,05 AUG 2027
C098,216가5826,Lily Rivera,Kia Ray,DB Insurance,20 AUG 2025,20 AUG 2026
C099,327나6937,Matthew Foster,Hyundai Casper,NONE,-,-
C100,438다7148,Zoe Morgan,Genesis G80,Samsung Fire & Marine,01 SEP 2026,01 SEP 2027
